127.0.0.1, 2011-11-10 15:51:52, GET, /Testapp/static/js/jquery.js, HTTP/1.1, 200, 0.038708
127.0.0.1, 2011-11-10 15:51:52, GET, /Testapp/static/css/base.css, HTTP/1.1, 200, 0.002702
127.0.0.1, 2011-11-10 15:51:52, GET, /Testapp/static/js/anytime.js, HTTP/1.1, 200, 0.002319
127.0.0.1, 2011-11-10 15:51:53, GET, /Testapp/static/css/superfish.css, HTTP/1.1, 200, 0.022889
127.0.0.1, 2011-11-10 15:51:53, GET, /Testapp/static/js/superfish.js, HTTP/1.1, 200, 0.002955
127.0.0.1, 2011-11-10 15:51:53, GET, /Testapp/static/images/poweredby.png, HTTP/1.1, 200, 0.002820
127.0.0.1, 2011-11-10 15:51:53, GET, /Testapp/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.002986
127.0.0.1, 2011-11-10 15:51:53, GET, /Testapp/static/css/anytime.css, HTTP/1.1, 200, 0.081795
127.0.0.1, 2011-11-10 15:51:53, GET, /Testapp/static/favicon.ico, HTTP/1.1, 200, 0.002515
127.0.0.1, 2011-11-10 15:51:54, GET, /Testapp/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.011723
127.0.0.1, 2011-11-10 15:51:54, GET, /Testapp/static/images/shadow.png, HTTP/1.1, 200, 0.001856
127.0.0.1, 2011-11-10 15:52:03, GET, /admin/default/site, HTTP/1.1, 200, 0.241210
127.0.0.1, 2011-11-10 15:52:03, GET, /admin/default/site, HTTP/1.1, 200, 0.174294
127.0.0.1, 2011-11-10 15:52:05, GET, /admin/default/twitter, HTTP/1.1, 200, 1.562154
127.0.0.1, 2011-11-10 15:52:13, GET, /examples/default/index, HTTP/1.1, 200, 3.167384
127.0.0.1, 2011-11-10 15:52:13, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001746
127.0.0.1, 2011-11-10 15:52:13, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002739
127.0.0.1, 2011-11-10 15:52:13, GET, /examples/static/css/menu.css, HTTP/1.1, 200, 0.003574
